SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-15-2017,Single Family Residential,1620 Dwight Way,Berkeley,CA,94703,850000,2,2.0,Central Berkeley,1006,4810,1928,128,845,,Sold,,,http://www.redfin.com/CA/Berkeley/1620-Dwight-Way-94703/home/1406710,EBRD/CCAR/Bay East,40772603,N,Y,37.8624171,-122.2778595
PAST SALE,May-17-2017,Single Family Residential,1253 Hearst Ave,Berkeley,CA,94702,970000,2,1.0,North Berkeley,811,4257,1913,126,1196,,Sold,,,http://www.redfin.com/CA/Berkeley/1253-Hearst-Ave-94702/home/1460574,EBRD/CCAR/Bay East,40776097,N,Y,37.8712244,-122.2889172
PAST SALE,,Multi-Family (2-4 Unit),1729 Martin Luther King Junior Way,Berkeley,CA,94709,1015000,5,5.0,,2303,2542,1910,,441,,,,,http://www.redfin.com/CA/Berkeley/1729-Martin-Luther-King-Junior-Way-94709/home/712603,,,N,Y,37.8750088,-122.2731673
PAST SALE,April-25-2017,Single Family Residential,1704 Stuart St,Berkeley,CA,94703,1050000,3,2.0,Lorin,1442,4120,1924,148,728,,Sold,,,http://www.redfin.com/CA/Berkeley/1704-Stuart-St-94703/home/869027,EBRD/CCAR/Bay East,40774325,N,Y,37.8573052,-122.2750769
PAST SALE,May-25-2017,Single Family Residential,2873 Sacramento St,Berkeley,CA,94702,640000,2,1.0,Berkeley,920,2170,1927,118,696,,Sold,,,http://www.redfin.com/CA/Berkeley/2873-Sacramento-St-94702/home/657864,EBRD/CCAR/Bay East,40777476,N,Y,37.855474,-122.279184
PAST SALE,June-16-2017,Single Family Residential,1606 Curtis St,Berkeley,CA,94702,855000,1,1.0,Berkeley,,2800,1910,96,,,Sold,,,http://www.redfin.com/CA/Berkeley/1606-Curtis-St-94702/home/686270,EBRD/CCAR/Bay East,40780177,N,Y,37.8753191,-122.2906704
PAST SALE,June-27-2017,Single Family Residential,2315 West St,Berkeley,CA,94702,950000,2,1.0,Poets Corner,,4000,1942,85,,,Sold,,,http://www.redfin.com/CA/Berkeley/2315-West-St-94702/home/1714093,EBRD/CCAR/Bay East,40781909,N,Y,37.8648982,-122.2850317
PAST SALE,,Multi-Family (2-4 Unit),2929 Harper St,Berkeley,CA,94703,904500,4,2.0,,2024,4880,1921,,447,,,,,http://www.redfin.com/CA/Berkeley/2929-Harper-St-94703/home/1872821,,,N,Y,37.854813,-122.271918
PAST SALE,June-30-2017,Single Family Residential,2006 Parker St,Berkeley,CA,94704,1100000,5,3.0,South Berkeley,2204,3600,1905,82,499,,Sold,,,http://www.redfin.com/CA/Berkeley/2006-Parker-St-94704/home/1435049,EBRD/CCAR/Bay East,40777585,N,Y,37.861658,-122.269263
PAST SALE,,Vacant Land,1698 University Ave,Berkeley,CA,94703,5323000,,,,1982,10000,1975,,2686,,,,,http://www.redfin.com/CA/Berkeley/1698-University-Ave-94703/home/28555561,,,N,Y,37.870659,-122.277747
PAST SALE,July-5-2017,Condo/Co-op,2168 Jefferson Ave #48,Berkeley,CA,94703,350000,2,2.0,Berkeley,1063,164718,1994,77,329,375,Sold,,,http://www.redfin.com/CA/Berkeley/2168-Jefferson-Ave-94703/unit-48/home/1988125,EBRD/CCAR/Bay East,40780571,N,Y,37.868569,-122.279004
PAST SALE,August-3-2017,Single Family Residential,1600 Ward,Berkeley,CA,94703-2308,1440000,5,2.0,Berkeley,,2330,1923,48,,,Sold,,,http://www.redfin.com/CA/Berkeley/1600-Ward-St-94703/home/40256481,EBRD/CCAR/Bay East,40774414,N,Y,37.8579868,-122.2775917
PAST SALE,July-14-2017,Single Family Residential,1805 Allston Way,Berkeley,CA,94703-1707,1200000,3,2.0,Central Berkeley,1567,3400,1910,68,766,,Sold,,,http://www.redfin.com/CA/Berkeley/1805-Allston-Way-94703/home/1467046,EBRD/CCAR/Bay East,40783328,N,Y,37.868729,-122.27465
PAST SALE,July-11-2017,Multi-Family (2-4 Unit),2400 Martin Luther King Jr Way,Berkeley,CA,94704,1080000,4,2.0,Central Berkeley,1899,4700,1905,71,569,,Sold,,,http://www.redfin.com/CA/Berkeley/2400-Martin-Luther-King-Junior-Way-94704/home/668007,EBRD/CCAR/Bay East,40782716,N,Y,37.865009,-122.2725476
PAST SALE,,Single Family Residential,2420 Jefferson Ave,Berkeley,CA,94703,315500,2,1.0,,1202,4940,1926,,262,,,,,http://www.redfin.com/CA/Berkeley/2420-Jefferson-Ave-94703/home/1926883,,,N,Y,37.8637493,-122.2781331
PAST SALE,March-31-2017,Single Family Residential,2800 Martin Luther King Jr Way,Berkeley,CA,94703,925000,4,1.5,Berkeley,2366,5400,1906,173,391,,Sold,,,http://www.redfin.com/CA/Berkeley/2800-Martin-Luther-King-Junior-Way-94703/home/2000727,EBRD/CCAR/Bay East,40769534,N,Y,37.8578168,-122.2717438
PAST SALE,April-3-2017,Single Family Residential,2147 Mcgee Ave,Berkeley,CA,94703,650000,1,1.0,Central Berkeley,736,4563,1943,170,883,,Sold,,,http://www.redfin.com/CA/Berkeley/2147-McGee-Ave-94703/home/674672,EBRD/CCAR/Bay East,40772199,N,Y,37.868608,-122.2770047
PAST SALE,August-1-2017,Condo/Co-op,1844 Dwight Way,Berkeley,CA,94703,350000,1,1.0,Berkeley,620,5130,1944,50,565,100,Sold,,,http://www.redfin.com/CA/Berkeley/1844-Dwight-Way-94703/home/122610962,EBRD/CCAR/Bay East,40785422,N,Y,37.863262,-122.2728665
PAST SALE,July-20-2017,Multi-Family (2-4 Unit),1275 Hearst Ave,Berkeley,CA,94702,965000,4,2.0,Berkeley,1700,7325,1924,62,568,,Sold,,,http://www.redfin.com/CA/Berkeley/1275-Hearst-Ave-94702/home/677267,EBRD/CCAR/Bay East,40783288,N,Y,37.8714673,-122.2875128
PAST SALE,July-25-2017,Single Family Residential,1710 Russell St,Berkeley,CA,94703-2120,858000,2,1.0,Berkeley Bowl,824,2010,1905,57,1041,,Sold,,,http://www.redfin.com/CA/Berkeley/1710-Russell-St-94703/home/657213,EBRD/CCAR/Bay East,40785428,N,Y,37.8556119,-122.2738347
PAST SALE,August-21-2017,Single Family Residential,1211 Ward,Berkeley,CA,94702,797000,3,2.0,South Berkeley,1185,3500,1922,30,673,,Sold,,,http://www.redfin.com/CA/Berkeley/1211-Ward-St-94702/home/1938267,EBRD/CCAR/Bay East,40787858,N,Y,37.8573586,-122.2857778
PAST SALE,August-22-2017,Single Family Residential,1461 Virginia St,Berkeley,CA,94702,1325000,4,1.5,N Berkeley,1604,3600,1929,29,826,,Sold,,,http://www.redfin.com/CA/Berkeley/1461-Virginia-St-94702/home/1578596,EBRD/CCAR/Bay East,40789742,Y,Y,37.8749427,-122.2835184
PAST SALE,August-21-2017,Single Family Residential,2904 Harper St,Berkeley,CA,94703,1125000,4,2.0,Berkeley Bowl,1703,4880,1914,30,661,,Sold,,,http://www.redfin.com/CA/Berkeley/2904-Harper-St-94703/home/1817984,EBRD/CCAR/Bay East,40788841,Y,Y,37.8557029,-122.2725611
